  TimeWindow  TotalIterations  Iterations  Convergence
     1       1       1       1
     2       2       1       1
     3       3       1       1
     4       4       1       1
     5       5       1       1
     6       6       1       1
     7       7       1       1
     8       8       1       1
     9       9       1       1
    10      10       1       1
    11      11       1       1
    12      12       1       1
    13      13       1       1
    14      14       1       1
    15      15       1       1
    16      16       1       1
    17      17       1       1
    18      18       1       1
    19      19       1       1
    20      20       1       1
    21      21       1       1
    22      22       1       1
    23      23       1       1
    24      24       1       1
    25      25       1       1
    26      26       1       1
    27      27       1       1
    28      28       1       1
    29      29       1       1
    30      30       1       1
    31      31       1       1
    32      32       1       1
    33      33       1       1
    34      34       1       1
    35      35       1       1
    36      36       1       1
    37      37       1       1
    38      38       1       1
    39      39       1       1
    40      40       1       1
    41      41       1       1
    42      42       1       1
    43      43       1       1
    44      44       1       1
    45      45       1       1
    46      46       1       1
    47      47       1       1
    48      48       1       1
    49      49       1       1
    50      50       1       1
    51      51       1       1
    52      52       1       1
    53      53       1       1
    54      54       1       1
    55      55       1       1
    56      56       1       1
    57      57       1       1
    58      58       1       1
    59      59       1       1
    60      60       1       1
    61      61       1       1
    62      62       1       1
    63      63       1       1
    64      64       1       1
    65      65       1       1
    66      66       1       1
    67      91      25       0
    68     116      25       0
    69     141      25       0
    70     156      15       1
    71     163       7       1
    72     170       7       1
    73     176       6       1
    74     201      25       0
    75     226      25       0
    76     251      25       0
    77     276      25       0
    78     301      25       0
    79     326      25       0
    80     351      25       0
    81     365      14       1
    82     386      21       1
    83     411      25       0
    84     436      25       0
    85     461      25       0
    86     470       9       1
    87     476       6       1
    88     480       4       1
    89     505      25       0
    90     521      16       1
    91     529       8       1
    92     554      25       0
    93     577      23       1
    94     595      18       1
    95     620      25       0
    96     645      25       0
    97     652       7       1
    98     656       4       1
    99     661       5       1
   100     674      13       1
   101     699      25       0
   102     708       9       1
   103     716       8       1
   104     721       5       1
   105     746      25       0
   106     764      18       1
   107     789      25       0
   108     814      25       0
   109     839      25       0
   110     854      15       1
   111     860       6       1
   112     874      14       1
   113     899      25       0
   114     913      14       1
   115     921       8       1
   116     946      25       0
   117     971      25       0
   118     996      25       0
   119    1006      10       1
   120    1011       5       1
   121    1017       6       1
   122    1042      25       0
   123    1067      25       0
   124    1080      13       1
   125    1088       8       1
   126    1094       6       1
   127    1100       6       1
   128    1108       8       1
   129    1133      25       0
   130    1158      25       0
   131    1171      13       1
   132    1179       8       1
   133    1186       7       1
   134    1190       4       1
   135    1215      25       0
   136    1240      25       0
   137    1252      12       1
   138    1277      25       0
   139    1300      23       1
   140    1319      19       1
   141    1344      25       0
   142    1369      25       0
   143    1391      22       1
   144    1400       9       1
   145    1409       9       1
   146    1416       7       1
   147    1422       6       1
   148    1429       7       1
   149    1433       4       1
   150    1458      25       0
   151    1483      25       0
   152    1497      14       1
   153    1502       5       1
   154    1508       6       1
   155    1512       4       1
   156    1515       3       1
   157    1518       3       1
   158    1521       3       1
   159    1524       3       1
   160    1527       3       1
   161    1531       4       1
   162    1535       4       1
   163    1538       3       1
   164    1541       3       1
   165    1543       2       1
   166    1546       3       1
   167    1549       3       1
   168    1552       3       1
   169    1556       4       1
   170    1558       2       1
   171    1560       2       1
   172    1562       2       1
   173    1564       2       1
   174    1567       3       1
   175    1570       3       1
   176    1573       3       1
   177    1575       2       1
   178    1577       2       1
   179    1580       3       1
   180    1582       2       1
   181    1584       2       1
   182    1586       2       1
   183    1588       2       1
   184    1590       2       1
   185    1592       2       1
   186    1594       2       1
   187    1596       2       1
   188    1598       2       1
   189    1600       2       1
   190    1602       2       1
   191    1604       2       1
   192    1606       2       1
   193    1608       2       1
   194    1610       2       1
   195    1612       2       1
   196    1614       2       1
   197    1616       2       1
   198    1618       2       1
   199    1620       2       1
   200    1622       2       1
   201    1624       2       1
   202    1626       2       1
   203    1628       2       1
   204    1630       2       1
   205    1632       2       1
   206    1634       2       1
   207    1636       2       1
   208    1638       2       1
   209    1640       2       1
   210    1642       2       1
   211    1644       2       1
   212    1646       2       1
   213    1648       2       1
   214    1650       2       1
   215    1652       2       1
   216    1654       2       1
   217    1656       2       1
   218    1658       2       1
   219    1660       2       1
   220    1662       2       1
   221    1664       2       1
   222    1666       2       1
   223    1668       2       1
   224    1670       2       1
   225    1672       2       1
   226    1674       2       1
   227    1676       2       1
   228    1678       2       1
   229    1680       2       1
   230    1682       2       1
   231    1684       2       1
   232    1686       2       1
   233    1688       2       1
   234    1690       2       1
   235    1692       2       1
   236    1694       2       1
   237    1696       2       1
   238    1698       2       1
   239    1700       2       1
   240    1702       2       1
   241    1704       2       1
   242    1706       2       1
   243    1708       2       1
   244    1710       2       1
   245    1712       2       1
   246    1714       2       1
   247    1716       2       1
   248    1718       2       1
   249    1720       2       1
   250    1722       2       1
   251    1724       2       1
   252    1726       2       1
   253    1728       2       1
   254    1730       2       1
   255    1732       2       1
   256    1734       2       1
   257    1736       2       1
   258    1738       2       1
   259    1740       2       1
   260    1742       2       1
   261    1744       2       1
   262    1746       2       1
   263    1748       2       1
   264    1750       2       1
   265    1752       2       1
   266    1754       2       1
   267    1756       2       1
   268    1758       2       1
