  TimeWindow  Iteration  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)  ResRel(Displacement)  ResRel(Velocity)  ResAbs(Traction)
     1       1              inf              inf   4.44089210e-15              inf              inf   2.22044605e-15
     2       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     3       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     4       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     5       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     6       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     7       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     8       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
     9       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    10       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    11       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    12       1              inf              inf   0.00000000e+00              inf              inf   0.00000000e+00
    13       1              inf              inf   1.65856802e-07              inf              inf   0.00000000e+00
    14       1              inf              inf   4.31860507e-11              inf              inf   0.00000000e+00
    15       1              inf              inf   8.63675036e-11              inf              inf   0.00000000e+00
    16       1              inf              inf   1.29552022e-10              inf              inf   0.00000000e+00
    17       1              inf              inf   2.04044174e-07              inf              inf   0.00000000e+00
    18       1              inf              inf   2.68904929e-10              inf              inf   0.00000000e+00
    19       1              inf              inf   3.65075901e-10              inf              inf   0.00000000e+00
    20       1              inf              inf   2.31498904e-07              inf              inf   0.00000000e+00
    21       1              inf              inf   6.17346014e-10              inf              inf   0.00000000e+00
    22       1              inf              inf   1.98390700e-07              inf              inf   0.00000000e+00
    23       1              inf              inf   9.80796443e-10              inf              inf   0.00000000e+00
    24       1              inf              inf   2.37668051e-07              inf              inf   0.00000000e+00
    25       1              inf              inf   1.45678088e-09              inf              inf   0.00000000e+00
    26       1              inf              inf   2.81040051e-07              inf              inf   0.00000000e+00
    27       1              inf              inf   1.56856629e-07              inf              inf   0.00000000e+00
    28       1              inf              inf   1.69038212e-07              inf              inf   0.00000000e+00
    29       1              inf              inf   1.81445168e-07              inf              inf   0.00000000e+00
    30       1              inf              inf   1.94354685e-07              inf              inf   0.00000000e+00
    31       1              inf              inf   2.07671942e-07              inf              inf   0.00000000e+00
    32       1              inf              inf   2.21437146e-07              inf              inf   0.00000000e+00
    33       1              inf              inf   2.35651909e-07              inf              inf   0.00000000e+00
    34       1              inf              inf   2.50341794e-07              inf              inf   0.00000000e+00
    35       1              inf              inf   2.65403534e-07              inf              inf   0.00000000e+00
    36       1              inf              inf   2.81003184e-07              inf              inf   0.00000000e+00
    37       1              inf              inf   2.96957912e-07              inf              inf   0.00000000e+00
    38       1              inf              inf   3.13449437e-07              inf              inf   0.00000000e+00
    39       1              inf              inf   3.30324201e-07              inf              inf   0.00000000e+00
    40       1              inf              inf   3.47687989e-07              inf              inf   0.00000000e+00
    41       1              inf              inf   3.65487137e-07              inf              inf   0.00000000e+00
    42       1              inf              inf   3.83746274e-07              inf              inf   0.00000000e+00
    43       1              inf              inf   4.02450249e-07              inf              inf   0.00000000e+00
    44       1              inf              inf   4.21643726e-07              inf              inf   0.00000000e+00
    45       1              inf              inf   4.41235697e-07              inf              inf   0.00000000e+00
    46       1              inf              inf   4.61356855e-07              inf              inf   0.00000000e+00
    47       1              inf              inf   4.81881041e-07              inf              inf   0.00000000e+00
    48       1              inf              inf   5.02889041e-07              inf              inf   0.00000000e+00
    49       1              inf              inf   5.24357865e-07              inf              inf   0.00000000e+00
    50       1              inf              inf   5.46301964e-07              inf              inf   0.00000000e+00
    51       1              inf              inf   5.68700487e-07              inf              inf   0.00000000e+00
    52       1              inf              inf   5.91530852e-07              inf              inf   0.00000000e+00
    53       1              inf              inf   6.14909919e-07              inf              inf   0.00000000e+00
    54       1              inf              inf   6.38668455e-07              inf              inf   0.00000000e+00
    55       1              inf              inf   6.62962617e-07              inf              inf   0.00000000e+00
    56       1              inf              inf   6.87684484e-07              inf              inf   0.00000000e+00
    57       1              inf              inf   7.12903201e-07              inf              inf   0.00000000e+00
    58       1              inf              inf   7.38585652e-07              inf              inf   0.00000000e+00
    59       1              inf              inf   7.64732140e-07              inf              inf   0.00000000e+00
    60       1              inf              inf   7.91356668e-07              inf              inf   0.00000000e+00
    61       1              inf              inf   8.18462713e-07              inf              inf   0.00000000e+00
    62       1              inf              inf   8.46043633e-07              inf              inf   0.00000000e+00
    63       1              inf              inf   8.74075987e-07              inf              inf   0.00000000e+00
    64       1              inf              inf   9.02617831e-07              inf              inf   0.00000000e+00
    65       1              inf              inf   9.31600089e-07              inf              inf   0.00000000e+00
