  TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns
     1       1       1       1       0       0       0
     2       2       1       1       0       0       0
     3       3       1       1       0       0       0
     4       4       1       1       0       0       0
     5       5       1       1       0       0       0
     6       6       1       1       0       0       0
     7       7       1       1       0       0       0
     8       8       1       1       0       0       0
     9       9       1       1       0       0       0
    10      10       1       1       0       0       0
    11      11       1       1       0       0       0
    12      12       1       1       0       0       0
    13      13       1       1       0       0       0
    14      14       1       1       0       0       0
    15      15       1       1       0       0       0
    16      16       1       1       0       0       0
    17      17       1       1       0       0       0
    18      18       1       1       0       0       0
    19      19       1       1       0       0       0
    20      20       1       1       0       0       0
    21      21       1       1       0       0       0
    22      22       1       1       0       0       0
    23      23       1       1       0       0       0
    24      24       1       1       0       0       0
    25      25       1       1       0       0       0
    26      26       1       1       0       0       0
    27      27       1       1       0       0       0
    28      28       1       1       0       0       0
    29      29       1       1       0       0       0
    30      30       1       1       0       0       0
    31      31       1       1       0       0       0
    32      32       1       1       0       0       0
    33      33       1       1       0       0       0
    34      34       1       1       0       0       0
    35      35       1       1       0       0       0
    36      36       1       1       0       0       0
    37      37       1       1       0       0       0
    38      38       1       1       0       0       0
    39      39       1       1       0       0       0
    40      40       1       1       0       0       0
    41      41       1       1       0       0       0
    42      42       1       1       0       0       0
    43      43       1       1       0       0       0
    44      44       1       1       0       0       0
    45      45       1       1       0       0       0
    46      46       1       1       0       0       0
    47      47       1       1       0       0       0
    48      48       1       1       0       0       0
    49      49       1       1       0       0       0
    50      50       1       1       0       0       0
    51      51       1       1       0       0       0
    52      52       1       1       0       0       0
    53      53       1       1       0       0       0
    54      54       1       1       0       0       0
    55      55       1       1       0       0       0
    56      56       1       1       0       0       0
    57      57       1       1       0       0       0
    58      58       1       1       0       0       0
    59      59       1       1       0       0       0
    60      60       1       1       0       0       0
    61      61       1       1       0       0       0
    62      62       1       1       0       0       0
    63      63       1       1       0       0       0
    64      64       1       1       0       0       0
    65      65       1       1       0       0       0
    66      66       1       1       0       0       0
    67      91      25       0       6      18       0
    68     116      25       0      21       9       0
    69     141      25       0      28      17       0
    70     156      15       1      28      14       0
    71     163       7       1      32       2       0
    72     170       7       1      30       8       0
    73     176       6       1      23      12       0
    74     201      25       0      40       7       0
    75     226      25       0      40      16       8
    76     251      25       0      30      33       1
    77     276      25       0      26      28       0
    78     301      25       0      20      30       0
    79     326      25       0      28      16       0
    80     351      25       0      28      24       0
    81     365      14       1      21      20       0
    82     386      21       1      32       9       0
    83     411      25       0      33      23       0
    84     436      25       0      28      29       0
    85     461      25       0      25      27       0
    86     470       9       1      26       7       0
    87     476       6       1      28       3       0
    88     480       4       1      28       3       0
    89     505      25       0      31      21       0
    90     521      16       1      34      12       0
    91     529       8       1      33       8       0
    92     554      25       0      39      14       4
    93     577      23       1      31      30       0
    94     595      18       1      36      12       0
    95     620      25       0      37      23       0
    96     645      25       0      24      37       0
    97     652       7       1      21       9       0
    98     656       4       1      20       4       0
    99     661       5       1      21       3       0
   100     674      13       1      30       3       0
   101     699      25       0      38      16       0
   102     708       9       1      22      24       0
   103     716       8       1      24       5       0
   104     721       5       1      19       9       0
   105     746      25       0      39       4       0
   106     764      18       1      36      20       0
   107     789      25       0      40      18       2
   108     814      25       0      38      26       0
   109     839      25       0      40      20       2
   110     854      15       1      34      20       0
   111     860       6       1      24      15       0
   112     874      14       1      22      15       0
   113     899      25       0      37       9       0
   114     913      14       1      26      24       0
   115     921       8       1      21      12       0
   116     946      25       0      34      11       0
   117     971      25       0      36      22       0
   118     996      25       0      37      23       0
   119    1006      10       1      26      20       0
   120    1011       5       1      21       9       0
   121    1017       6       1      18       8       0
   122    1042      25       0      34       8       0
   123    1067      25       0      40      14       4
   124    1080      13       1      27      25       0
   125    1088       8       1      27       7       0
